6q2cMTpUEOQ	170858	171321	173034	174461	175948	177129	178320	180494
SgflG4TzZNY	7384	7397	7460	7498	7576	7615	7672	7748
p82YhXuWios	16825	16831	16846	16862	16880	16887	16898	16912
tw9WfyAOt0g	1621	1627	1644	1649	1658	1656	1659	1667
lVabp2pq2pM	2192	2246	2392	2496	2599	2678	2731	2818
bKHCTG_nwoU	109529	110879	113284	114906	116557	117412	118430	119743
-iWBCjdrknE	1646	1673	1709	1725	1751	1769	1775	1793
OISqNAdTvFc	3355	3375	3408	3428	3455	3492	3505	3530
qmyMg504otQ	57793	57855	58002	58099	58257	58347	58426	58532
z2JmKR_STSw	538489	538629	539013	539282	539536	539658	539743	539992
xTiwEJNlTzM	32837	32914	33144	33325	33511	33664	33765	33958
3JIZTv-N--E	14890	14912	14981	15023	15067	15091	15119	15172
O_3S4fPxWZw	8220	8466	8847	9126	9384	9569	9740	10001
vYG9HdjJ8_A	852063	859518	881912	891477	899669	903584	905855	911810
hNVmHRmRELg	84061	84403	85319	85900	86448	86733	86983	87459
f1pq4hv6KMc	86406	86698	87404	87927	88576	88947	89257	89824
JBCF9h9gjh4	29409	29495	29696	29852	30049	30159	30247	30386
VH0sc3HtAq4	3320026	3374693	3406998	3415175	3418903	3420843	3422003	3425137
gYEGn1PPIV4	118298	122657	128491	130385	132541	133719	134888	136624
2ntnnBCpR5c	934	964	1109	1196	1316	1369	1433	1565
efFQ02rvSiA	847155	959213	1330630	1436654	1473527	1483875	1489663	1504559
9WZQlHMNe7o	180105	181814	186657	188956	190896	191924	192863	194519
Km6yiiGAx40	None	None	None	None	None	None	None	None
tPg6FNt-NYg	257092	258744	262462	265262	268820	270671	272011	274049
8d3X7_-QVyo	2769	2875	3192	3386	3579	3700	3809	4039
pyjyhmeebf0	55915	56227	56807	57171	57508	57673	57788	58098
NcbFqgyTTBU	11040	11202	11652	11931	12329	12563	12763	13153
3klWO2ttpGQ	168605	169215	170645	171633	173907	174815	175648	176570
oQ6a8UmuKhk	168676	169661	171523	172612	174039	174798	175634	176770
37v1PJqG06g	380833	381517	383010	383972	385056	385669	386318	387222
z1fmOHWlcog	18162	18180	18217	18245	18284	18308	18330	18358
70JDd-Ywnio	301752	303515	307294	309364	311798	313128	314309	316021
ej9N0sGymE0	17911	17955	18077	18152	18236	18297	18347	18421
Supe0AtCFAY	231032	231473	232547	233406	234855	235543	236118	236896
N_BOMV45mDY	22046	22674	24129	24907	25719	26228	26810	27504
7sC1dBws9L0	206598	224677	276377	318976	356078	370843	381259	390614
YgrzzRKITts	None	None	None	None	None	None	None	None
QxyyJXxC0HU	2707	2741	2824	2895	2996	3037	3087	3151
RdklEHhQ6Mo	7410	7501	7634	7728	7949	8062	8154	8275
Nus7MfF2ytw	5576940	5652452	5975958	6170244	6340317	6439029	6507953	6684076
vclUlhFmvMQ	66493	66811	67384	67661	67886	68025	68165	68460
9rsJSbp9P34	231770	236945	252630	258226	264606	268767	272166	280212
XnCeEJvcG6M	681716	693271	745606	787951	828814	843937	853558	872700
8pkqcDfmN_w	541442	543173	547253	549316	552201	553742	555406	557253
iEUxmn2YjiI	39144	39215	39468	39667	39861	39970	40069	40204
VG82HbYpwHY	19711	20711	22937	24461	26061	27058	27858	28944
pXSSqxWepvM	6757	6842	7108	7331	7627	7731	7855	8022
cYdMysMuJUw	28315	28746	29469	29777	29982	30070	30156	30279
FmOWPH2nudE	1135792	1143569	1186389	1208637	1225064	1231133	1234723	1243198
8gKAP2nm7xw	33752	35492	43364	47288	51057	52397	53092	54279
namXTvyvLp0	47655	48657	50124	50858	51473	51764	52008	52366
VAnRsg7UecE	9069	9990	11625	12222	12896	13183	13408	13709
ijMGwiif1ns	67485	67734	68626	69076	69645	69952	70176	70636
f37KZMEBWJs	100904	103294	108820	111942	115343	116985	118371	120355
QPB3PA3IUzY	139138	152071	173791	181199	189111	194640	199375	209192
deCIuMFNL-o	91034	94387	102468	105852	109070	111096	112765	117504
jc1fTjYV7t0	12844	13065	13673	14020	14435	14608	14760	14888
PBYXY9XZZ3Y	32050	32653	34252	35255	36294	36945	37664	38665
AAWOeenV_J4	8710	8777	8945	9046	9160	9229	9286	9383
OfX-2vUoFIE	48621	49049	50588	51749	52762	53146	53404	53955
