video_id	title	size	category_ratio	views	comments	likes	views_wma	comments_wma	likes_wma
9N0pRm_atEI	MIKROSKOPOWA konfrontacja jednorazówek! 10 ostatnich filmów AdBustera (cz. 2)	344.5	0.28	138445	427	6915	136437.57142857142	421.0	6841.428571428572
R5E_DcitNBI	NOWY KOSMICZNY UPDATE NA BROOKHAVEN RP	379.0	0.05	69615	610	5000	66677.25	606.9642857142857	4889.857142857143
DmQ4Dqxs0HI	AI Learns to play JUMP KING	816.0	0.06	4300659	8265	271831	4084254.3571428573	8045.321428571428	264409.96428571426
4E5iJbK1-Lw	Waldemar Kasta ft. Sarius - Delirka	113.0	0.26	141233	488	4339	132765.5357142857	478.89285714285717	4219.392857142857
MOifIuOhBiA	День шестьдесят девятый. Беседа с @Alexey Arestovych Алексей Арестович	1185.0	0.06	2332383	5289	347561	2324654.0	5357.428571428572	347826.8214285714
T-phq7QKN_I	JEDNAK NIE BUDUJEMY DOMU 🫠😥 | JDabrowsky i Sylwia Przybysz	353.0	0.11	110678	113	6300	109018.5	111.92857142857143	6238.571428571428
1D-H_7W6pZs	B.R.O - Jeszcze Będzie Pięknie	101.0	0.26	1855848	2380	65795	1672992.3214285714	2355.1785714285716	62425.57142857143
4vbDFu0PUew	LE SSERAFIM FEARLESS OFFICIAL M/V	91.5	0.26	53984141	69260	1188729	48248656.821428575	66414.25	1135346.0714285714
yq6_Z7fi0q4	Czy kupiłem Nissana Skyline R34? | Co z Mazdą RX7? Jakie są szanse na wygranie Nissana? Q&A!	631.5	0.11	500525	1230	37759	473204.71428571426	1204.5	36636.03571428572
SGMxo7cRi24	Czy Rosja ZBANKRUTUJE ?	1705.0	0.06	84862	838	3510	83311.42857142857	824.0714285714286	3466.535714285714
FBVrdMAnZpM	SZOKUJĄCA INFORMACJA NA TEMAT PUTINA	11.5	0.06	609248	392	12418	603615.0	391.14285714285717	12372.285714285714
RXF9oupPE_E	Ciumkaj loczki: TRUDNE SPRAWY 90	1430.5	0.28	365674	779	21119	346944.53571428574	757.4285714285714	20446.464285714286
jCcdH4imZ8o	zapomnieliśmy o jej urodzinach...	466.5	0.28	181894	458	11511	173880.32142857142	450.17857142857144	11215.07142857143
DgCTlhAqGjQ	Bliźniaczki - Bliźniaczki dwie (Oficjalny teledysk)	100.0	0.26	138247	281	3151	129284.28571428571	276.25	3069.8214285714284
enZxKJnMzRA	Czy Rosja użyje broni jądrowej? Jak odpowie Zachód? - Jacek Bartosiak i Piotr Zychowicz	2292.0	0.11	938378	3452	29954	928907.2142857143	3323.214285714286	29825.39285714286
3PXENu6PvkQ	kukon - nowy dom	91.0	0.26	214574	181	10666	188233.5	177.25	10230.607142857143
rJYPadEC_PM	Motywy na maturę z polskiego 2022  z lektur, jakie mogą być na maturze. Zapis wydarzenia z Maturalni	1444.5	0.06	154711	160	6815	154478.07142857142	160.0	6840.035714285715
oSwZ_BckDvc	Johnny Depp trial: Judge rejects Amber Heard's demands for dismissal | LiveNOW from FOX	135.5	0.06	13007823	21682	150633	12201011.5	21088.035714285714	142991.0357142857
ujjflEi6lV4	365 dni 2: Ten paździerz - Recenzja #636	654.0	0.28	249024	939	11388	239072.5	916.25	11126.17857142857
_83AOaZ3Iyg	Benzz - Je M'appelle [Music Video] | GRM Daily	72.0	0.26	3677448	3870	169814	3324609.3928571427	3698.0714285714284	156986.4642857143
bFgRGA8rjoU	🏖️Disco Polo 2022: MAJÓWKA - Najnowsze Hity! | Vivat, Top Girls, Boys i inni!	2503.0	0.26	191061	24	1231	174377.39285714287	23.785714285714285	1140.9285714285713
OEOEX_ExDnM	Majówka ze Szwagrami / Zakończenie zbiórki na film	58.5	0.28	92689	360	6012	91307.5	358.7142857142857	5977.571428571428
hfClU7lZyQA	JAK PRODUKUJE SIĘ TRAWĘ W ROLCE? Inny wymiar rolnictwa. | DO ROBOTY	735.0	0.06	338420	324	8553	327103.5	315.35714285714283	8338.32142857143
XynFyyAX1f8	Referendum 3xTAK	341.5	0.06	95800	329	7107	91300.53571428571	321.2857142857143	6896.857142857143
YWFkjaa8yfE	BĘDĄ NOWI CZŁONKOWIE GENZIE?! CZY TO PRAWDA, ŻE…	1008.0	0.28	675361	719	42560	665980.9642857143	717.3928571428571	42186.0
c0wUKCekI34	Michele Morrone - Another Day (Official Music Video)	94.0	0.26	4203874	3656	193919	3889734.6071428573	3547.4285714285716	185336.2857142857
IeW67q_B1KI	Wiadomości ze świata kryptowalut 04.05.2022	1561.5	0.06	96673	1374	6324	92109.82142857143	1336.0	6187.142857142857
4PjL4x4k-zI	Anna-Maria Sieklucka o nieprzyjemnym seksie w 365 dni i romansie z Morrone!	66.0	0.28	132616	175	1129	130100.82142857143	173.32142857142858	1114.9642857142858
r1ls5jQrcw0	Michał Kempa: nie ma się z czego śmiać	4850.0	0.11	130416	250	2465	110159.28571428571	208.07142857142858	2168.0
ZQBefPPcN_4	Звільнення Харківщини. +200 танків від Польщі 🇵🇱 Окупант самоу*бався на камеру. 65 день	178.5	0.06	1647534	1738	24946	1642609.7857142857	1739.607142857143	24928.214285714286
HzLKWOkPhgQ	100 DNI MINECRAFT HARDCORE vs SPEEDRUNNER!	807.5	0.05	210398	1193	15119	208475.07142857142	1185.5	15060.67857142857
p5vPT_vmV3o	Alberto - PÓŁNOC feat. p3 Prod.CarouselBain & ayotasso	79.0	0.26	984110	1018	35038	937499.6785714285	1012.5	34492.53571428572
-k9hMjhZbgc	Dziunia Show - Las (NOWA KREACJA)	38.0	0.01	61097	95	4959	55498.142857142855	90.75	4667.25
GwBNFNO3GcA	POLECIAŁEM ODEBRAĆ NAGRODĘ ZA RAPERA ROKU.. i kilka innych	306.5	0.11	153612	130	12584	151438.07142857142	129.39285714285714	12448.92857142857
4Aav3Of0p0o	Fryderyk Festiwal 2022 cz. II	4975.0	0.28	65729	99	771	64915.28571428572	99.0	764.3928571428571
2qiL-qMdMl4	Kacper HTA - Krwawy spektakl prod. Druid	96.0	0.26	220517	170	8373	210731.07142857142	168.85714285714286	8300.357142857143
Tvva9IhMWfM	НОЧЬ В НОВОМ ХЗБ! ПРОНИК В СЕКРЕТНЫЙ ЗАБРОШЕННЫЙ БУНКЕР	1940.5	0.28	7108719	21847	651506	6713584.607142857	21175.964285714286	631515.6785714285
tvJwv-6oNOQ	«Терпи, зайчику, тепер все буде харашо» — репортаж із Лимана, на який наступають росіяни | hromadske	582.0	0.06	2356963	10835	45328	2120912.3928571427	9522.17857142857	43281.53571428572
nRDRABVR3y4	TROLLUJĘ PRZYJACIELA JAKO POTWORY Z FNAF	283.5	0.05	35671	314	2892	34867.03571428572	311.5357142857143	2843.714285714286
WfmQU5xE-Ss	Krem o smaku twojego ulubionego batona	14.0	0.04	608588	1310	35477	519813.10714285716	1101.392857142857	28792.821428571428
nkkc0IRQoC8	WuWunio - Żulin - feat. Bodychrist & Luiza	119.5	0.02	109677	590	5934	100940.64285714286	567.0	5741.5
7-c3PFsrnVE	8 ODKRYĆ KOSMETYCZNYCH, które „MUSISZ ZNAĆ”!!! 🤩	652.5	0.04	120946	264	5393	118864.78571428571	260.75	5317.25
Yx3K3g4CtoQ	Lady Gaga - Hold My Hand (From “Top Gun: Maverick”) [Official Audio]	113.0	0.26	2825158	13430	130833	2640215.214285714	13245.0	127554.67857142857
SGqPvHBsug8	BOGATY vs ŚREDNI vs BIEDNY UCZEŃ W SZKOLE!	385.0	0.28	514083	584	25125	481651.4285714286	566.5	24163.928571428572
lzqDEe4AZ-A	Rosja uderza w magazyny broni NATO. Do sieci trafiło nagranie z ataku	20.5	0.06	449954	0	1987	449224.0714285714	0.0	1980.892857142857
kJN5RDgksxA	SKANDAL NA NARODOWYM! KIBICE LECHA NIEWPUSZCZENI NA FINAŁ! KORDONY POLICJI	53.5	0.06	65257	277	403	64167.357142857145	286.39285714285717	398.32142857142856
iDiNeoOtR84	ODTWARZAMY PRZEPISY Z TIKTOKA Z MOIM CHŁOPAKIEM	682.5	0.28	652059	931	46272	639240.6785714285	919.5	45677.357142857145
zX63QzrGNv4	ROYAL DIVISION TO PORAŻKA (NITRO ATAKUJE BOXDELA, PUDZIAN ODWALIŁ, SKOK NA BUNGEE, LALUNA VS XAYOO)	399.0	0.05	461377	886	95098	446119.89285714284	862.3214285714286	93828.35714285714
4BsA43HJtU4	Dawid, Artysta & Vłodarski - PAPI (Odliczamy do Wakacji; 50 dni)	59.0	0.26	631778	1271	24499	545272.3571428572	1242.392857142857	22953.85714285714
_TrYTV3KMls	DZIENNIKARSKIE ZERO #41 - SZKLANKI KANAŁU, CZYLI WPADKA WSZECH CZASÓW	337.0	0.06	569802	2671	16876	556232.9642857143	2613.0	16643.75
xNgxUVpV1hA	My name is Puff, and I make Marshmallow Waffles #thatlilttlepuff #puffknowsbetter #catsofyoutube	15.0	0.0	27486804	2084	1604518	25835064.67857143	1949.142857142857	1521812.7142857143
jZJHGIrq25w	Gdy do studia przyjdzie nieogarnięty raper	12.0	0.26	809390	160	46843	744277.0357142857	154.42857142857142	42611.46428571428
OKikGDmonKU	MOJA CHOROBA	642.0	0.05	91234	612	13268	84512.03571428571	575.5357142857143	12254.57142857143
gMtbVzF6tFE	Coachella Vlog 2022 - Harry Styles ! Część 1/2 - Agnieszka Grzelak Vlog	689.5	0.28	211610	424	14283	208303.17857142858	420.92857142857144	14146.857142857143
DoSUAqYmobY	Menelaos - Prima Sort (Truskaweczka) Official Video	94.0	0.26	335046	599	6941	305538.14285714284	595.2857142857143	6741.964285714285
