video_id	title	published_at	category_id	duration	views_1	views_2	views_3	views_4	views_5	views_6	views_7	views_8	likes_1	likes_2	likes_3	likes_4	likes_5	likes_6	likes_7	likes_8	comments_1	comments_2	comments_3	comments_4	comments_5	comments_6	comments_7	comments_8
V7lHNwP3pes	Joueur du grenier ( Hors-série) - RESIDENT EVIL	2022-05-01T15:01:45Z	23	PT39M58S	1571263	1627126	1797412	1878992	1952816	1996625	2017150	2078663	146293	149063	154658	157481	159966	161087	161862	163249	6816	6917	7147	7241	7343	7388	7414	7471
aTTRT41kKRk	ON REMPLACE SON SETUP 4 ft. Inoxtag	2022-05-03T16:00:04Z	28	PT30M59S	522097	581103	695744	789164	871741	922380	937065	982841	45774	50162	56245	61100	65566	68150	69208	70977	740	803	856	937	1016	1058	1071	1092
4TcXhZZM9ss	Shay - DA (Official Video)	2022-04-29T16:00:13Z	10	PT3M4S	1060457	1101236	1212361	1267201	1316702	1349209	1369805	1425907	47490	48694	51053	52147	53132	53818	54295	55317	2854	2908	3013	3078	3156	3197	3257	3337
2zPILxJQBEE	La Rencontre entre Théodort, Koba LaD & Bolemvn (ça n’a aucun sens)	2022-05-01T13:00:49Z	10	PT11M6S	905292	960536	1105573	1158396	1194006	1221028	1231070	1263827	68326	71679	77421	79728	81441	82610	83353	84636	1342	1407	1547	1588	1634	1655	1684	1696
FnD2ZUAl7tE	"Pourquoi les grands guitaristes jouent ""MAL"" ?"	2022-05-02T15:00:08Z	10	PT13M44S	65374	67776	77194	83552	90842	95591	98011	104452	3651	3753	4050	4264	4438	4559	4645	4793	308	316	360	384	401	420	443	462
lh8qH-QWo9c	NOTRE REMERCIEMENT POUR VOUS !	2022-04-30T18:47:22Z	24	PT14M17S	118996	121169	126739	129275	130690	131689	132109	133585	13351	13542	13874	14047	14166	14222	14253	14347	313	315	317	319	319	320	320	321
m5I6czoUIqk	JOUER AU FOOT JUSQUE DANS L'ESPACE !!	2022-05-03T16:30:06Z	20	PT30M52S	77966	85067	95379	110696	125318	132157	135279	144868	2524	2630	2837	3134	3400	3541	3632	3760	141	145	167	175	181	179	182	186
VCHk9zoFIr8	WOODZ (조승연) - 난 너 없이 (I hate you) MV	2022-05-04T09:00:16Z	10	PT3M14S	3375663	4195740	7919988	10117014	11545848	12674817	13010313	13124069	67925	75034	87954	94762	101389	106983	109762	114642	4301	4626	5487	5852	6160	6436	6626	6805
qMVd2YRpwxQ	Lemon Haze - 9m2 (Clip officiel)	2022-04-29T16:00:35Z	10	PT2M52S	418535	438948	525177	579862	646087	689186	696605	707014	4389	4473	4690	4811	4971	5035	5091	5188	295	296	308	311	315	322	322	325
0ob5Cxk_R-I	LE TRIBUNAL DES BANNIS ! ⚖️ #8	2022-05-01T16:00:00Z	24	PT9M8S	1190648	1238173	1350902	1393080	1418871	1434722	1443593	1463546	93405	96459	101334	103380	104854	105632	106094	106836	677	686	701	692	700	702	704	705
zcV5sWLSlpk	J'OUVRE 5 PACKS ICONE MOMENTS + MES 1ERS TOTS	2022-05-03T14:57:20Z	20	PT8M1S	36707	38922	43805	48086	52060	53890	54669	56188	2022	2110	2276	2403	2520	2572	2593	2633	46	47	53	55	55	55	57	57
Hqvdr91LoSI	LE SSERAFIM 르세라핌 Blue Flame @ LE SSERAFIM DEBUT SHOWCASE FEARLESS	2022-05-03T14:00:22Z	10	PT3M27S	1359076	1446540	1633087	1726114	1827196	1878952	1909109	1974727	86931	89715	95526	98121	100773	101848	102445	103838	2724	2784	2885	2931	3002	3020	3039	3064
dKxWdLubIT0	Soso Maness - Crépuscule (Clip officiel)	2022-04-29T16:00:31Z	10	PT3M20S	649411	672026	741259	756274	769852	778315	783639	795479	21038	21195	21634	21819	21990	22088	22170	22269	816	823	832	836	841	847	847	853
lHB5LGnPoxY	MON HOMMAGE À LUDO 🕊❤️ GROS RASSO + 150 MOTOS - (PARTIE 1)	2022-05-03T15:45:04Z	2	PT15M50S	34232	37159	45396	55302	65118	70259	72023	77949	4075	4338	4805	5365	5856	6114	6226	6436	189	199	215	228	239	246	250	261
