video_id	title	published_at	category_id	duration	views_1	views_2	views_3	views_4	views_5	views_6	views_7	views_8	likes_1	likes_2	likes_3	likes_4	likes_5	likes_6	likes_7	likes_8	comments_1	comments_2	comments_3	comments_4	comments_5	comments_6	comments_7	comments_8
r5n1GCY-nYQ	iKON - '너라는 이유 (BUT YOU)' M/V	2022-05-03T09:06:30Z	10	PT3M44S	5621749	6177203	8033681	9074427	9736071	10031884	10177961	10623912	414049	422831	453679	473125	491161	500972	505973	516950	70327	75032	87517	94540	101277	105495	107874	112810
DDY6KjQCMoQ	Welcome to CLAN CAPITAL! Clash of Clans New Update!	2022-05-02T11:02:34Z	20	PT1M20S	10243159	11043140	14921006	16346886	20073851	21178792	21296278	21442344	162001	162890	165115	166653	168570	169424	169826	170721	5639	5688	5758	5812	5855	5876	5882	5907
ZkzNAhppysE	Gigi Hadid on Her Extremely Heavy Met Gala Dress | Met Gala 2022 With Emma Chamberlain | Vogue	2022-05-03T02:30:51Z	24	PT1M43S	2175248	2290325	2780683	3103610	3391789	3533943	3583223	3714469	68688	71578	80745	86759	91703	94002	94938	97151	804	847	963	1065	1137	1161	1185	1204
uBDxPRi0OoU	KIDA x LEDRI VULA - TDU	2022-05-04T22:00:11Z	10	PT3M7S	471603	933773	1835711	2445499	3245066	3671078	4041016	4802270	23006	32303	40366	44275	47857	49615	51120	53552	785	976	1475	1636	1909	2012	2029	2132
LqtwJRgAo7c	AIELLO - PARADISO (Official Video)	2022-05-03T12:00:07Z	10	PT2M49S	25839	31146	45985	57371	70720	78383	85732	100044	1143	1260	1557	1742	1906	2030	2116	2273	43	47	54	61	65	69	70	80
RKLuD3zPi_s	"Gli studenti ripuliscono ""parti di corpo"" per me - Yandere Simulator"	2022-05-01T10:03:08Z	20	PT12M7S	34842	36536	40596	43408	46437	48436	49347	51568	4858	5091	5399	5634	5908	6047	6159	6324	240	243	247	249	252	254	257	258
iPyxXX1EOmI	11 cartoni PROIBITI	2022-04-30T12:00:31Z	1	PT47M45S	512990	593076	723161	739035	758099	760685	764854	777749	10764	11727	12555	13178	13688	13915	14056	14256	1080	1152	1221	1250	1258	1279	1290	1318
wgqPKrU8Z54	SMENTISCO 20 MITI DI FORTNITE STAGIONE 2 CAPITOLO 3!	2022-05-04T12:15:02Z	20	PT15M25S	156363	183947	213348	224302	232451	235422	237031	239255	12427	13680	14654	15026	15336	15412	15475	15543	726	784	835	845	867	869	877	882
u8bRv8VHePQ	ANCELOTTI al MILAN ||| Il maestro della CHAMPIONS	2022-05-02T11:45:01Z	17	PT19M	98220	105828	124537	135983	146378	152077	154399	159363	6866	7140	7783	8170	8531	8702	8808	8936	351	360	392	412	421	426	432	435
nEc-uwLVOCg	Clementino - Desaparecidos (Visual Video) ft. Geolier	2022-04-28T23:00:13Z	10	PT3M14S	208607	221532	256399	282890	309522	326243	339884	368803	4634	4763	5081	5290	5517	5651	5765	5921	225	232	241	246	251	255	254	259
qo-NO-bFfzE	La zanzara del 03 maggio 2022	2022-05-03T19:07:02Z	24	PT2H10M30S	19743	20325	21103	21438	21802	21991	22125	22312	247	254	259	259	263	263	265	267	57	56	56	52	52	52	52	52
E4eUX_KJYDQ	Juventus 2-1 Venezia | Bonucci stende il Venezia con una doppietta! | Serie A TIM 2021/22	2022-05-01T15:30:12Z	17	PT3M21S	607130	610030	615184	616543	617436	617829	617999	618419	13791	13860	13947	13972	13984	13990	13991	13997	475	475	475	478	478	478	479	479
ONAfRcquz_k	MARCY USA LE HACK DEL CANNOCCHIALE CONTRO LOCO SU MINECRAFT	2022-05-02T13:00:18Z	20	PT15M43S	20966	21708	23691	25635	27382	28463	29177	30542	1715	1769	1880	1980	2083	2130	2174	2223	25	25	29	29	30	30	30	30
g88DHXCtEzw	LE SORPRESE ROMANTICHE 18 vs 28 🌸	2022-05-02T11:55:21Z	24	PT36S	286010	287527	390889	474639	571876	654646	702501	808759	21242	21304	29070	35195	40846	44775	48424	51689	45	48	70	80	92	102	112	120
CXYAxBwGVaY	Nell'universo c'è il doppio della luce rispetto a quanto ipotizzato!	2022-05-04T05:00:03Z	27	PT13M16S	27739	30361	36646	39452	41900	43120	43594	45073	3060	3264	3590	3754	3921	3992	4029	4113	155	160	165	179	181	182	182	184
0rsIRMbNLxI	METRO DIVINA PIZZA CHALLENGE - (3,2 KG) - MAN VS FOOD	2022-05-04T12:00:00Z	24	PT28M35S	71456	85772	110962	120589	130970	138219	143802	156095	5899	6709	7823	8330	8856	9158	9471	9857	268	304	354	363	381	393	396	404
