video_id	title	published_at	category_id	duration	views_1	views_2	views_3	views_4	views_5	views_6	views_7	views_8	likes_1	likes_2	likes_3	likes_4	likes_5	likes_6	likes_7	likes_8	comments_1	comments_2	comments_3	comments_4	comments_5	comments_6	comments_7	comments_8
Tvva9IhMWfM	НОЧЬ В НОВОМ ХЗБ! ПРОНИК В СЕКРЕТНЫЙ ЗАБРОШЕННЫЙ БУНКЕР	2022-05-01T20:59:34Z	24	PT1H4M41S	5414285	5708133	6303127	6573058	6853077	6987434	7108719	7296110	564731	582136	610460	624636	638721	644911	651510	659351	19177	19730	20490	20905	21357	21583	21849	22156
iLlCvDyQP1s	⚡ЖДАНОВ дата наступу ЗСУ, вибухи в рф, у путіна є 7 днів, генерали налякані / Україна 24	2022-05-03T06:00:17Z	25	PT14M17S	1718040	1738736	1765166	1774719	1782118	1786244	1787292	1788631	46141	46312	46302	46357	46384	46391	46389	46375	3799	3909	3584	3124	3125	3124	3127	3119
tvJwv-6oNOQ	«Терпи, зайчику, тепер все буде харашо» — репортаж із Лимана, на який наступають росіяни | hromadske	2022-05-03T06:50:12Z	25	PT19M24S	1629076	1652160	1801988	1974313	2177948	2293409	2356963	2412375	38436	38746	40395	42266	43906	44817	45328	45848	6660	6983	7477	8773	9837	10581	10835	10513
5aZS5f3oDy0	Боруссія – Динамо. Матч для МИРУ. Короткий огляд	2022-04-26T18:44:06Z	17	PT10M55S	240155	237142	238681	239541	240405	240887	241303	242775	3555	3563	3571	3579	3584	3587	3592	3603	190	190	190	190	190	190	190	190
k-Ed6aMcVQY	Базель – Динамо Київ. Пряма трансляція. Матч для МИРУ	2022-05-04T19:17:31Z	17	PT2H39M4S	312780	314539	322174	324180	326515	327654	327974	329527	4638	4651	4670	4663	4676	4683	4684	4690	27	28	30	25	24	24	24	24
qYE8NxymMIk	⭐ЕКСТРАСЕНС МАКС ГОРДЄЄВ: Чи ПЕРЕЖИВЕ путін 9 травня? | РАНОК З УКРАЇНОЮ	2022-05-04T13:21:09Z	24	PT9M51S	297753	333140	474946	557212	650928	668330	671661	675862	9211	10150	13557	15895	17546	17769	17812	17845	720	780	962	1030	1099	1119	1126	1118
BJNcoHVuXZw	😰Майнкрафт, но Рисуя Свои ПРЕДМЕТЫ Получаешь ИХ!	2022-04-26T12:12:04Z	20	PT21M9S	1460772	1519794	1650425	1693915	1745643	1775754	1823773	1864877	53883	55224	58367	59369	60526	61238	62234	63161	1752	1786	1876	1901	1931	1955	1985	2018
cKmvL1Hta6A	💥ЖДАНОВ: путін масовано ударив по Україні не просто так - ракетні обстріли, рф - Україна 24	2022-05-03T19:00:16Z	25	PT2M52S	2142552	2183270	2258621	2292989	2300152	2305185	2305816	2308244	37464	37916	38143	38293	38309	38316	38314	38336	4057	4107	3530	3551	3536	3536	3537	3525
ZfgaLb7lJyE	Украинские ПРЕДАТЕЛИ! ЗВЁЗДЫ, кинувшие родную страну в БЕДЕ ради любви к России. Гражданская оборона	2022-04-28T14:00:14Z	25	PT17M37S	2369908	2415489	2590708	2653371	2729985	2778548	2807683	2881016	69530	70384	72752	73546	74417	74941	75238	75973	8042	8327	9207	9464	9786	9974	10118	10366
MRF4Qqj9WAg	ОФИЕГННЫЙ ФИЛЬМ ВЗОРВАЛ МИР СВОИМ ВЫХОДОМ! ВОСКРЕСНЫМ УТРОМ Мелодрамы новинки	2022-04-26T17:58:27Z	1	PT1H38M7S	804390	824727	886584	910841	936335	950314	957126	969519	3079	3200	3426	3508	3581	3615	3638	3668	138	141	147	148	149	149	149	152
u4-KK2Qebsc	Bahh Tee & Turken - Не забывают (Премьера клипа)	2022-04-28T21:10:20Z	10	PT2M54S	705669	743698	981062	1140323	1324005	1427049	1512481	1716240	11890	12175	13516	14357	15240	15706	16138	17064	360	361	371	384	390	403	413	422
zjka-AfYujk	Фронтовой блог мародера и военного из Петербурга	2022-04-21T11:31:27Z	25	PT7M2S	2123544	2132228	2162071	2181108	2204927	2221175	2233120	2264700	25525	25582	25744	25850	26004	26115	26182	26351	13754	13817	13925	13875	14031	14127	14201	14304
_jd0sk81oMk	СВЕЖИЙ ФИЛЬМ ТОЛЬКО ЧТО ВЫШЕЛ! ПОПАДАЮТ В ПЛЕН К ПИРАТАМ! Золото Глории! Русская мелодрама	2022-05-01T12:56:21Z	1	PT6H34M28S	581178	604854	670462	703770	742096	757871	766406	788769	2290	2385	2609	2735	2866	2916	2940	2997	80	83	92	96	100	100	101	102
xNgxUVpV1hA	My name is Puff, and I make Marshmallow Waffles #thatlilttlepuff #puffknowsbetter #catsofyoutube	2022-05-01T02:24:43Z	15	PT30S	19399238	20330373	23858746	25490849	26783157	27243130	27486804	28022236	1181800	1225766	1421202	1514376	1573024	1593312	1604522	1632509	1454	1524	1792	1926	2011	2058	2084	2106
bmNjBghO1ls	Kele - Ley 54 (Audio Video)	2022-04-26T01:10:26Z	10	PT4M1S	804935	808173	819653	825176	830460	834996	837159	846142	22289	22321	22466	22535	22606	22658	22679	22755	1003	1006	1010	1013	1019	1021	1021	1022
v1QiAu2_at4	Потап відповів Безрукову, який пригрозив Україні	2022-05-04T13:00:29Z	25	PT7M57S	1374100	1487739	1774858	1872898	2031238	2114461	2164008	2258398	33019	35271	40545	42569	45595	46957	47744	48833	4403	4728	5221	5352	6008	6369	6696	6926
kqcd6n3UI_E	🔥Соловьеву жестко закрыли рот, Канделаки напала на Джоли, ракета от Кивы по Львову. Украина 24	2022-05-03T17:30:03Z	25	PT13M16S	1103504	1148355	1195873	1217773	1239243	1255744	1263749	1270353	65994	69026	70496	71689	72736	73403	73677	73876	4627	4858	4701	4702	4731	4752	4768	4763
pRqkC0ApuDQ	Чё Происходит #114 | Ядерная война для Симоньян, покушение на Соловьёва, провокации в Приднестровье	2022-05-01T13:48:46Z	25	PT1H55M22S	2451969	2507066	2638316	2684158	2727946	2743296	2754788	2770296	91736	92663	94537	95329	95836	95987	96130	96268	12235	12368	12644	12756	12815	12834	12848	12856
BzQlUfRFLlE	ЭКСТРЕМАЛЬНЫЕ ПРЯТКИ В ПАРКЕ АТТРАКЦИОНОВ! 24 ЧАСА ЧЕЛЛЕНДЖ!	2022-04-26T09:00:05Z	10	PT38M55S	1324351	1368049	1435614	1473702	1519387	1546328	1573119	1608039	108307	111004	115435	118073	121323	123195	125253	127663	1870	1892	1969	2021	2062	2090	2114	2139
HEnmB2WnGQs	Soorathenga Lyric | Koogle Kuttappa | Tharshan, Losliya | KS Ravikumar | Ghibran |Sabari - Saravanan	2022-04-26T11:30:23Z	10	PT4M32S	607230	607507	608953	610181	613317	614606	616079	619944	688	695	731	756	812	833	847	889	54	54	55	56	57	57	57	57
GX6Xn7TD2zM	Nick_XDD (Анекдот) 3 Долара	2022-04-14T12:14:11Z	24	PT53S	11064804	11170835	11522975	11823096	12240682	12457329	12648641	13026403	677063	683249	701492	718519	741027	752526	765997	783616	1041	1050	1075	1103	1131	1143	1155	1169
NzqSaojWqiI	Phasmophobia ► КООП-СТРИМ #9	2022-04-30T17:59:49Z	20	PT2H23M	1777334	1817377	1926825	1976127	2039811	2081514	2106332	2168569	157238	158664	161597	163080	164882	165861	166773	168139	1890	1923	1957	1981	2024	2036	2045	2065
OJ2B4Fb7xQQ	Ed Sheeran – 2step ft Antytila [Official Video]	2022-05-02T07:00:02Z	10	PT2M35S	2467051	2686214	3520472	3994771	4568331	4762330	4905243	5190655	167205	174431	193345	205408	219471	225326	228993	235695	6926	7165	7916	8342	8837	9016	9131	9355
-s4mSqdfW4g	Нарисовал Киси Миси 3Д РУЧКОЙ #shorts	2022-04-29T13:55:41Z	22	PT37S	2355044	2424281	2535786	2599791	2705466	2743947	2773549	2809513	120138	122810	126456	128924	132014	133284	134196	135212	3811	3861	3915	3952	4007	4019	4025	4026
-MawZgUZaAg	Lp. Идеальный МИР #3 ПЕРВЫЙ КОНТАКТ • Майнкрафт	2022-05-03T12:00:01Z	20	PT16M13S	984890	1034350	1105264	1131311	1150875	1165869	1178994	1193916	111305	113764	116847	118046	119162	119903	120616	121225	5790	5844	5817	5827	5836	5836	5840	5847
JTL_gtRccwE	АМКАЛ против ФК ДЕНЬГИ / ЛЕГЕНДЫ ПЕРВОГО СЕЗОНА СНОВА СОБРАЛИСЬ ВМЕСТЕ / САМЫЙ МЕДИЙНЫЙ МАТЧ	2022-05-03T10:00:09Z	17	PT1H10M35S	563313	587753	623970	634049	643625	648249	651829	657292	56581	57768	59282	59745	60213	60402	60589	60767	1501	1520	1525	1527	1530	1532	1534	1535
-IH8kA5ItfI	Приглядываю за собачками 🐛	2022-04-29T07:50:33Z	20	PT9M28S	1513468	1561181	1661473	1715188	1787242	1904408	2003359	2118002	119314	120690	123227	124667	127048	133094	136390	139653	4472	4537	4662	4727	4835	4950	5030	5095
