i0O86g520cs	21547	21619
cXW7M2TQvQ0	18307	18432
YC6fW0qqDUk	1656	1690
uynLFuuFBps	1697	1717
a_0PSZ2S_yw	213531	215200
lnr1KCWf-J4	84373	84533
n43oZSY7df0	442104	443996
aCZ6aLuyTwM	11811	12315
GsPk03_TqMc	32098	32238
FcmUNlgld74	163954	165622
acMC7bTVcY8	705294	753329
QO7e_RiMVQg	542523	543881
YpQ5DEMqoW0	22526	22668
ioHy9bZDLhg	27651	27707
v8MKkbrfL-c	218534	218760
bc593mbuTTc	225225	225349
IM-x1VrAL-c	238853	241017
z2JmKR_STSw	538489	538629
s5vuXYNQehA	79880	80107
DDY6KjQCMoQ	161998	162889
zKYqM2ADpz8	148554	149083
IycyBFrJXXg	71608	71853
y1RNQcFySWc	4692	4724
oI_X2cMHNe0	212540	215544
TkTaadb9GmM	239975	240853
48s6RGU1dr0	194164	203430
yOK-Vy8J4NM	353996	356225
xBpUcJKYkSk	157523	157707
VH0sc3HtAq4	3319578	3374666
DmKpePzn5-c	914067	915263
4Uo3_IuRR5E	241510	247093
efFQ02rvSiA	846560	958793
cBzlNT9bU4M	3405	3464
5Ofpo0Jj62c	108511	110092
tWIHC4pW3jc	35301	35585
P6Ps7MYB2bI	11915	12432
d_cwY5KqwYw	41021	41427
GZifN_BacG0	18045	18094
apPxQOfh0ek	243799	245025
tgB1wUcmbbw	1679547	1681019
X6ePJCYeEn0	3816	3840
uFDkjbD4pZs	57535	58960
PKMaOgCZU_U	45536	46367
C2rJZd5YQJU	178985	179831
F0fMoqY9qI0	1044703	1051804
UeqIVJJnwCU	6011	6251
rpr9ltx8q28	2470	2488
T79ZSCQ5WEc	1351463	1365025
HmP_wGYw1_g	441490	445335
8_BLh6MXpN8	3410	3495
Nus7MfF2ytw	5576519	5652201
uGzDKU7gxho	38594	38851
sVKlJ5M2kBY	35802	36688
y7RxSfivDnE	3721	3750
AcDGIkDGY2c	167167	169400
VcHMZ7LdMO8	1574	1621
jeVqPpWlPxg	1273112	1347617
-KKBtdYW9Uc	8352	8363
R5QpUh6cYO8	202477	202734
ktwOZXFYw0Y	774193	781009
jLRm8wP6iCE	27544	27564
ovZw_z2s9Bc	145077	148478
iH8mWNKM8xU	None	None
GS-666L0VLE	259622	260801
dEjA3uw5s3I	156944	159909
1meYHqpovJc	3789	3851
UMnk3n6QGmA	32200	32297
ppS8kgyoU80	152237	153118
QlZjtudjVD0	125658	125788
zPOYkJsrewU	155136	156892
cUbzWjNqtmo	12883	13090
RX8b4H_wEEo	413185	434756
DBjAIdTZrqQ	3845	4057
DmQ4Dqxs0HI	241358	245159
Lk8pjx8KpVQ	11095	11357
ZyNCY8IW7oI	11723	12177
XwGjdaboKzo	15606	15729
L-A7p6s-1Ns	36413	36795
4vbDFu0PUew	989097	1006690
_FlXe7GmBrE	28392	29529
MvDMMiVC8UE	5244	5339
udTOGzb9FHs	107839	108255
bTdxa8uOzls	549827	554081
x-e-Erg5irA	8398	8949
QGae78sWVSw	58889	63822
BdSKimOBm6k	1133	1173
BwGh2vCm8qk	7621	7767
8JbBzQBa9D4	50365	50741
kJQ3FkvUB20	175929	176467
pRSkhCc3Hkk	81429	81926
mkH7rVb6V68	226770	227059
oSwZ_BckDvc	120795	123974
DKToNIqOJyw	48600	49320
c0wUKCekI34	162254	166492
I6o32fBPqMY	6199	6829
K463NayEBCk	2130	2173
Z_MvkyuOJgk	446325	451267
7iFjVFF4gNo	1796	1915
79utzs9G8ng	8299	8309
nLhes14fUKg	41265	41430
MJyrDxtU5ds	4979	4999
Ikrqv6M_W0Q	9332	9356
H5v3kku4y6Q	3793749	3806692
IV3dnLzthDA	498821	502181
GBxoH5XxH2Y	42476	42639
5vbvwTTQ6GA	270391	270511
5eCg1Def1ik	15936	16268
PzxxYd6fsr0	8690	8810
8uiUz_IUkpo	6849057	7017685
v3rJ1DGhbIM	8068	8163
YRNXEcUIsaU	14002	14053
zjIU9KOAgRA	289861	292301
iq_6Z1ZIA4k	74532	79062
pQuk3t2aeBo	250101	252651
G8O1wHFd3uM	68142	70945
vjhbxxTYkpw	32841	40026
pirYs7L4xog	5027162	5063019
Yx3K3g4CtoQ	110626	114598
lb2mJhPusRM	18511	18595
6kolTgj7uQc	70485	71465
hibTeDRLhCc	37604	38158
VGmTO5DRxII	112422	113022
6NdxqonzexQ	3156	3157
lyJqXb8Nj-I	29766	31121
n1khwOk5dN8	269735	274409
SXGKt-q263w	119891	120554
JhA9PFyGwrw	2859	2870
ndiadyS1L94	211396	213268
WkgHkrM9fo0	3915684	3924200
9kb5cuLK4n0	386283	433487
2YvCWCrssw0	1811	1812
YhQaXTMLXPs	84877	86981
36ZdwrpEMCg	2328	2335
4I25nV9hXGA	550424	556927
wYdqohteanI	48087	50724
c0AOEQAvZWk	3609584	3609441
0Dz8SebIq3s	61406	61443
ep57Nj9eWmU	119394	119700
heayyMyhSGU	84766	88170
_iksbUH1aMg	100556	100734
342ILHWUonY	57767	57893
ZXtpmM0NDGY	91669	92422
zdBthc6fCk4	150544	151896
dUC7TBmzrL4	287906	290609
-Nm3bQ-uMhg	41951	42280
8dJyRm2jJ-U	6164880	6234012
nYFDHftXido	218463	219098
j1AuFXa_g0o	91663	98047
YhxOUeZknN8	7584	7607
qen2szBZn7w	2718	2865
2n5GKLdrTfk	73893	76681
dXqPagAcr64	207229	208430
z4WblARaDGw	78891	79149
XoFDIIyhPqQ	21967	22034
7SoG8bKN8vA	154323	155261
qa2-wpVZt2E	306830	308533
G3HaDp48kks	1585	1600
Ghbi0we-mcE	12041	12083
V3C4pWwDqps	59706	59852
_iz5_DuY_II	281443	290030
bJwdkYKF5LM	38892	39583
Vnk8NZ0sQbE	411746	420729
qB9ZC-mbK8g	841096	853437
uN39K9ctJuU	37241	37848
7OPg-ksxZ4Y	202495	209560
EUcvdGfGEj0	172106	173236
WnJipPJ2frY	2084	2134
wpV7OXr7JYo	88233	89516
3Yh_6_zItPU	306026	317262
2WH2shuw46M	4365	4477
D7WjpZy-0oE	192549	192964
a3ljcLjvMR4	5107	6050
4H66pDhczzw	91941	92111
zVZrLXP_p2g	15336	15923
lm-PTGpQVO0	53354	53751
tCOAY406yzk	7864	8024
g9g9Y3BgYMQ	49021	49784
ONj9cvHCado	459267	466045
ItZ4SlxpOiI	95102	99982
LTjRgoqATBE	52738	53756
HhBrKaLtiCI	1541	1581
3PHhl2pa3jo	192933	192977
hMiNsiK1fGk	43796	44542
L_1LKg9UnCk	1996095	2012840
v-QnXwVuhwU	17951	18002
PJkTt9rxLtQ	23550	23558
elPuqdCo30I	143207	144386
273pasBKH18	579629	583117
2cCJazaUlwU	20212	20426
7EZaPUtbYVg	20224	21199
wsP3uDGLBFg	107267	108025
-_EVfrXqkEo	225194	225287
oTw8AECmUNA	530017	532504
LL24xq7mVJo	4587	5579
hfwDcaRyHqg	1591	1721
7_qSIp-MmQU	91619	91781
rr0NeIWItW0	207052	207362
6N22wYwItDs	7524	8047
ksgYjbUPFFg	5243	5270
DwlRoL_FKsM	23154	23183
