i0O86g520cs	1221	1215	1222	1225	1227	1226	1229	1238
cXW7M2TQvQ0	1699	1701	1717	1722	1726	1734	1743	1757
YC6fW0qqDUk	0	0	0	0	0	0	0	0
uynLFuuFBps	65	65	71	73	74	74	74	74
a_0PSZ2S_yw	12367	12467	12718	12872	13026	13184	13247	13469
lnr1KCWf-J4	58	58	58	58	58	58	58	58
n43oZSY7df0	10383	10416	10526	10567	10604	10643	10654	10702
aCZ6aLuyTwM	49	54	62	68	77	81	83	89
GsPk03_TqMc	None	None	None	None	None	None	None	None
FcmUNlgld74	11489	11563	11911	12061	12176	12251	12307	12429
acMC7bTVcY8	20824	21630	22255	22597	22948	23155	23250	23452
QO7e_RiMVQg	22520	22564	22743	23098	23334	23448	23558	23029
YpQ5DEMqoW0	544	550	560	565	575	578	585	595
ioHy9bZDLhg	298	301	301	301	308	308	308	311
v8MKkbrfL-c	5049	5053	5061	5065	5074	5078	5085	5092
bc593mbuTTc	10171	10176	10186	10193	10204	10206	10207	10220
IM-x1VrAL-c	1551	1565	1603	1622	1645	1676	1685	1706
z2JmKR_STSw	29969	29977	29981	30005	30049	30058	30066	30076
s5vuXYNQehA	774	780	785	788	789	788	790	793
DDY6KjQCMoQ	5639	5688	5758	5812	5855	5876	5882	5907
zKYqM2ADpz8	2822	2825	2844	2857	2882	2888	2892	2897
IycyBFrJXXg	970	965	979	992	1004	1014	1018	1018
y1RNQcFySWc	83	83	83	84	84	84	84	84
oI_X2cMHNe0	14484	14680	15187	15393	15718	15869	15980	16212
TkTaadb9GmM	10502	10521	10611	10661	10721	10758	10781	10935
48s6RGU1dr0	6601	6854	7549	7883	8127	8287	8366	8665
yOK-Vy8J4NM	2966	2981	3018	3053	3170	3264	3294	3402
xBpUcJKYkSk	2608	2613	2621	2626	2626	2627	2629	2637
VH0sc3HtAq4	7258	7365	7437	7457	7469	7478	7482	7490
DmKpePzn5-c	90142	90230	90511	90586	90800	90957	91141	91396
4Uo3_IuRR5E	502	514	542	572	588	600	606	622
efFQ02rvSiA	1813	2204	3795	4259	4353	4368	4373	4363
cBzlNT9bU4M	130	131	143	144	144	144	143	145
5Ofpo0Jj62c	3736	3753	3831	3873	3914	3952	3971	4018
tWIHC4pW3jc	210	211	215	215	218	218	218	219
P6Ps7MYB2bI	529	552	598	614	615	617	621	633
d_cwY5KqwYw	853	857	870	885	888	900	900	903
GZifN_BacG0	1571	1578	1582	1579	1581	1582	1583	1569
apPxQOfh0ek	5925	5944	5988	6030	6060	6085	6092	6125
tgB1wUcmbbw	66760	66799	66935	67018	67265	67385	67434	67634
X6ePJCYeEn0	78	81	87	89	96	99	99	100
uFDkjbD4pZs	2316	2325	2408	2552	2572	2584	2589	2607
PKMaOgCZU_U	1349	1372	1416	1430	1439	1444	1453	1461
C2rJZd5YQJU	8576	8602	8683	8735	8781	8815	8839	8893
F0fMoqY9qI0	5975	5994	6027	6048	6072	6088	6100	6115
UeqIVJJnwCU	208	214	233	242	251	257	260	267
rpr9ltx8q28	71	72	72	72	72	72	72	72
T79ZSCQ5WEc	4243	4313	4541	4718	4908	5010	5051	5132
HmP_wGYw1_g	12287	12442	12611	12648	12698	12753	12772	12822
8_BLh6MXpN8	37	37	37	37	37	38	38	39
Nus7MfF2ytw	3407	3468	3681	3793	3899	3957	4005	4124
uGzDKU7gxho	3490	3545	3544	3545	3539	3530	3528	3528
sVKlJ5M2kBY	1218	1237	1261	1275	1281	1284	1288	1295
y7RxSfivDnE	73	72	73	74	74	75	75	75
AcDGIkDGY2c	564	571	598	606	621	629	632	669
VcHMZ7LdMO8	63	63	72	76	82	83	83	83
jeVqPpWlPxg	63151	65746	69493	71167	72861	73726	74187	75023
-KKBtdYW9Uc	710	731	754	758	756	761	764	767
R5QpUh6cYO8	6531	6559	6605	6664	6744	6778	6798	6804
ktwOZXFYw0Y	3748	3790	3921	4021	4114	4203	4221	4287
jLRm8wP6iCE	1074	1078	1079	1079	1077	1075	1075	1075
ovZw_z2s9Bc	944	956	999	1024	1043	1053	1065	1080
iH8mWNKM8xU	3284	3934	4693	4822	5024	5102	5181	5281
GS-666L0VLE	12120	12284	14429	14503	14630	14735	14782	14912
dEjA3uw5s3I	837	846	898	937	990	1025	1045	1076
1meYHqpovJc	61	60	61	62	62	62	62	61
UMnk3n6QGmA	1291	1294	1298	1303	1307	1311	1316	1319
ppS8kgyoU80	2042	2050	2083	2110	2124	2145	2149	2160
QlZjtudjVD0	4599	4600	4609	4614	4612	4613	4615	4616
zPOYkJsrewU	7159	7217	7391	7495	7583	7626	7641	7681
cUbzWjNqtmo	6053	6356	6515	6578	6704	6761	6750	6789
RX8b4H_wEEo	2331	2394	2487	2559	2633	2681	2697	2740
DBjAIdTZrqQ	75	76	78	79	84	84	79	80
DmQ4Dqxs0HI	7349	7428	7795	7977	8126	8213	8265	8358
Lk8pjx8KpVQ	167	170	175	182	186	187	187	190
ZyNCY8IW7oI	291	294	302	303	303	303	304	304
XwGjdaboKzo	563	566	568	571	573	570	574	574
L-A7p6s-1Ns	3409	3420	3462	3497	3538	3572	3586	3627
4vbDFu0PUew	58735	59725	62688	64867	67570	68535	69260	70637
_FlXe7GmBrE	850	868	889	933	961	988	995	1006
MvDMMiVC8UE	127	173	198	202	198	198	198	199
udTOGzb9FHs	2129	2138	2156	2167	2180	2191	2193	2213
bTdxa8uOzls	1627	1650	1705	1737	1752	1764	1776	1805
x-e-Erg5irA	3950	4416	5052	5175	5233	5295	5328	5388
QGae78sWVSw	13792	14804	16865	17479	17989	18171	18249	18326
BdSKimOBm6k	29	29	33	30	30	36	38	39
BwGh2vCm8qk	47	48	52	55	57	57	57	56
8JbBzQBa9D4	666	668	679	687	689	693	695	709
kJQ3FkvUB20	5292	5301	5322	5341	5368	5377	5392	5407
pRSkhCc3Hkk	933	942	957	963	967	962	973	972
mkH7rVb6V68	10857	10864	10881	10892	10902	10913	10915	10923
oSwZ_BckDvc	19178	19573	20238	20851	21349	21583	21679	21798
DKToNIqOJyw	2124	2145	2188	2214	2234	2250	2259	2295
c0wUKCekI34	3244	3293	3435	3494	3569	3630	3656	3739
I6o32fBPqMY	631	707	758	791	830	853	871	859
K463NayEBCk	28	28	52	52	53	54	54	54
Z_MvkyuOJgk	13918	14027	14351	14500	14639	14759	14819	15020
7iFjVFF4gNo	95	100	112	118	131	133	136	144
79utzs9G8ng	51	52	55	55	55	55	55	55
nLhes14fUKg	1115	1116	1121	1121	1124	1127	1127	1113
MJyrDxtU5ds	27	27	27	27	11	0	0	0
Ikrqv6M_W0Q	170	170	170	170	170	170	170	170
H5v3kku4y6Q	142630	142825	143626	144105	144658	145130	145408	146136
