hse_g-YZ754	3720609	3745431	3822708	3843600	3868367
o__3fco3RxM	804931	811723	837035	851881	867734
JktwRXYTDYc	4571307	4590583	4708928	4790001	4869511
5O69clHm2wE	245312	247114	253787	257512	260727
2_4sx92TO0Y	3464495	3505721	3620912	3675472	3729520
m20eY8gcoMk	428042	569376	879816	1031235	1152883
Lygx457WFTM	491718	511678	564162	592237	621993
Lsbt0bWqIjo	271176	273434	281476	285463	288923
DEuiAx4r2fU	335902	339720	353386	360574	367501
Do1MTPUQ1Ss	333632	339921	369150	388266	405913
4bpbolK_3q4	326365	355775	426734	458161	483091
jjY3LDm7AQw	1294755	1363274	1518351	1611509	1683145
Dvbs6je5_DI	639476	642233	654376	660002	665799
1pU2uRl5GzQ	1734781	1778427	1942435	2021689	2099400
Ylkq7x5gGxM	81011	85905	96859	102734	107975
SRRBKMbZmI8	369821	387322	434906	464035	485474
KYw10Eie_-M	786866	795575	839777	863375	896774
pA3k6-ZWzBU	217799	223630	243155	250663	258008
QO7e_RiMVQg	11845926	11897918	12131174	12272609	12412299
gf5KCQX5Ons	267713	303441	369243	411720	431955
6T4tUHiOeLk	97707	108993	125337	130682	139106
YZuL90fj9V8	377933	385196	404908	415498	427976
2zFD9kxQXwU	1235256	1248809	1314132	1349909	1392659
zwrTdw8LpIg	2195846	2253018	2427829	2543945	2667345
xRERAqW-4DM	509715	509704	510061	510203	510368
jmWahXQsjBk	135636	137032	142896	145996	149367
EVgDwM6AwAQ	719895	728804	758278	771932	784694
0evQ8jIDp0c	635132	641139	661548	671886	680357
0sVtEAEphSA	526813	530831	543762	551996	560759
Skfi8knijbY	815955	827225	866988	889099	911500
z2JmKR_STSw	10442138	10450371	10475210	10492899	10512813
x0nkYuceo6c	2074081	2335306	4046342	5223825	9131409
w1g_LyCcekU	3558621	3600967	3763456	3850187	3941601
Z_z6fuStGEM	483735	484623	488625	490719	492987
hnSvVqj5j_I	510872	513206	521385	526829	532909
qVvyyNtXc5s	932874	941627	971436	992698	1012879
nWBbzqi_CqI	141669	145822	157086	164014	172547
AMazCOhvs8k	3312700	3333872	3406159	3439021	3469090
Ihjd5MW3Sik	671726	674289	682502	686184	689248
v9tGy755jEc	3126719	3139825	3187241	3211286	3235121
6Uc4cQ-RNq8	232352	234373	240176	243660	247817
b7wkATaFFak	1152286	1200456	1391237	1488810	1594489
IVxSK4gGDdE	286506	290890	304631	310191	314872
OGj0zBkAMhk	967193	973926	997225	1007610	1019599
8ZssJxbjCrI	144561	145057	147171	148200	149556
Ovs3MbDWXqM	2304063	2395048	2954458	3372038	4186028
ShdFZYD5YLQ	2068239	2188852	2558722	2737304	2893939
tzwxUoQbhNc	200549	205990	226715	234991	243653
R3ZaW7KhaWs	385100	387009	394556	398384	401901
vdkJYWCJKJo	242752	245940	258541	264455	270533
NOjZR_ZPw1I	1434810
mnC1Z4wxqLo	3181555	3192581	3235790	3258512	3281053
fZxqO7dd0qw	478662	483477	505155	516353	529161
TmKnWc97k-o	1365206	1396249	1516128	1574020	1634910
fnaDApWBnbw	548119	555590	580461	594952	613811
6dcbAbYhJMw	1438129	1464333	1558124	1603419	1654230
o5RhbG3tOT8	17555873	17764089	18616902	19057151	19486922
9FXZ8xk2VbI	982991	1000399	1060994	1094013	1126574
jeVqPpWlPxg	5286037	5876518	6885868	7346701	7800390
vp2rImrGE1w	1369714	1375883	1393676	1405011	1417971
1vQY-xQpb6w	132312	132689	134671	135577	136586
mEIzkTrAvrI	1637477	1646491	1694368	1717262	1743129
3yvVjrVpzws	995945	1067612	1197545	1276557	1337742
uK-JiLhKOKU	537854	551182	607890	636938	659406
zse3u1oVooY	1765154	1767526	1777537	1783818	1790752
3ILWjcGApWU	413204	415614	423573	427206	431329
6UIUnvwF9JA	300580	304273	314027	319164	324530
I6WGT41QbPQ	1567955	1630900	1819719	1944452	2088029
SGJoTuWmMmQ	325183	326642	330633	332758	335076
Sb2eX6tA_d4	319782	319987	320712	320965	321243
xAhVV-7Z1t4	231102	233512	243559	249187	254125
B3G4PfZH2yI	132340	133059	135575	137043	138563
uRHQskCeOxw	1163876	1395014	1785525	1928605	4386822
QlZjtudjVD0	6093523	6110675	6153132	6169538	6182028
fViLT6Jc_ug	1685395	1697856	1750030	1775612	1802921
VQ2yRoXQvVU	1576292	1604502	1671016	1704737	1735010
pcozYHHSnz0	371105	373669	386622	394969	401753
Zld_w0UfAgU	785038	803182	858052	876933	899329
nrnrYUZn9Wk	1160096	1162824	1170489	1175409	1181036
CYim-pwuqtA	142059	143057	148540	151211	153384
JHWqhCTqG3g	1240932	1259059	1325047	1358647	1382894
4vbDFu0PUew	31930594	33145072	40296492	44614240	51115933
kg4F7IOejHo	171337	219873	334611	380599	414489
Frpi1Wob4-I	1757155	1769464	1809549	1832067	1853320
OHUsPiXfcfM	8269702	8477106	9136056	9421414	9665552
