XdUoiEVccdo	1001009	1031430	1148979	1217544	1290639	1322105
hse_g-YZ754	3720415	3745431	3822597	3843508	3868320	3880051
AAp-2L682Jg	1866942	1924396	2213008	2353875	2449568	2493958
5ED4m-4zw14	644084	654429	693195	717749	748671	768931
i-qaw_coIsw	460181	472842	516108	540276	557187	568107
IkWhSslf7d8	413248	480217	614564	688875	763116	800953
a_0PSZ2S_yw	3581123	3619942	3783481	3855332	3933535	4003169
acMC7bTVcY8	3498898	3916704	4876184	5299822	5717665	5929522
Ujaa3ar4hCA	1179558	1252513	1572696	1717304	1849853	1940817
FgSX-RZeXQU	1107001	1123978	1215985	1258799	1298798	1318439
SoVLr7A4Q7k	132224	132652	135278	139938	141957	142995
CMWLX0KXwF4	425225	523176	837546	1010628	1187953	1314239
nxn0lmYArXg	123689	126652	135684	142354	149853	154686
F4Z0GHWHe60	1768397	1760626	1788716	1804682	1819745	2486724
cU4CuA5dFz4	411105	415843	428485	433213	438373	441944
Nq3x1AkwgpY	788270	1053979	1917220	2372115	2868191	3173344
s-MoeONH5Ug	1467319	1478298	1522738	1544739	1566014	1579016
VMJPHqwv41U	1732924	1766309	1876902	1923984	1968910	1996934
SNL1828hKIQ	1058735	1086959	1197815	1239853	1293133	1330175
IRyvDZzXGEs	355942	360698	378930	385597	391962	396371
gRDJH0ba64c	495315	510663	552444	583289	604048	613939
N3f7OLt-WvY	1540609	1600804	1883177	2038894	2187472	2312201
qqAxQ9yVa5A	1140187	1158108	1231526	1260869	1290186	1310528
eQS0iayRgQU	702189	710061	735719	751390	769028	780920
6lcVtR-zHuI	200018	201084	204425	205155	205780	206204
_fpxCuorKjA	3211576	3399955	4147708	4358192	4535490	4655382
6fPj6mj-M_k	1088651	1105364	1158164	1180813	1207467	1223639
ql1YDUYWTmg	402641	404702	424533	427006	429259	430141
BkBkxM2MOmw	3538525	3667993	4388669	4797481	5164839	5324244
wBo8hqRd92Q	1390080	1459410	1729183	1889032	2008491	2059185
T4tcZAduiVk	324483	330424	346596	353939	362067	373103
JyXpzxRr_T0	684876	707305	807543	865898	932510	973212
bG19b06NG_w	1417533	1460510	1638923	1795807	1976364	2056871
OXbQx2hfA5k	369157	371117	378556	380467	382226	383429
h5AKZrG1khI	827966	835670	860194	874219	890582	902226
IFQczCt-oSY	2985753	2997237	3035945	3049124	3062304	3079639
XzZGOrCn0gQ	2141037	2154258	2227911	2279136	2339174	2368411
_bdxSvIh7-A	651573	654915	670415	691752	705300	709615
wZiPs0vqFFU	768024	797856	877663	916279	957344	987768
