6q2cMTpUEOQ	3770503	3778406	3816759
SgflG4TzZNY	418730	421255	427236
p82YhXuWios	1531691	1532951	1535880
tw9WfyAOt0g	72613	73033	74081
lVabp2pq2pM	103497	110148	131047
bKHCTG_nwoU	1460472	1488126	1544699
-iWBCjdrknE	110225	111931	115471
OISqNAdTvFc	138256	138946	140838
qmyMg504otQ	1027433	1030385	1037684
z2JmKR_STSw	10442081	10450371	10475210
xTiwEJNlTzM	3683413	3715436	3810351
3JIZTv-N--E	864859	867726	876370
O_3S4fPxWZw	1389182	1423024	1505097
vYG9HdjJ8_A	26074530	26305833	27122811
hNVmHRmRELg	1713617	1721653	1740101
f1pq4hv6KMc	1739405	1749567	1774408
JBCF9h9gjh4	590972	594074	602167
VH0sc3HtAq4	96291339	98603979	98983751
gYEGn1PPIV4	1048423	1096269	1188313
2ntnnBCpR5c	84833	93766	123822
efFQ02rvSiA	35724649	39886038	52114894
9WZQlHMNe7o	4620491	4662321	4803544
Km6yiiGAx40	221430	231208	253567
tPg6FNt-NYg	16358705	16565449	17140489
8d3X7_-QVyo	452256	472134	542218
pyjyhmeebf0	2552087	2574294	2642909
NcbFqgyTTBU	1266387	1299408	1405978
3klWO2ttpGQ	2839168	2860628	2919577
oQ6a8UmuKhk	2867967	2892006	2936564
37v1PJqG06g	3745065	3755583	3790898
z1fmOHWlcog	750426	751983	756352
70JDd-Ywnio	2529690	2557006	2625138
ej9N0sGymE0	708529	713645	727619
Supe0AtCFAY	3268377	3280118	3317999
N_BOMV45mDY	1124594	1163913	1254783
7sC1dBws9L0	2058191	2299444	2965202
YgrzzRKITts	754434	782427	837577
QxyyJXxC0HU	165106	166979	173097
RdklEHhQ6Mo	1452187	1477521	1534690
Nus7MfF2ytw	175690436	178133872	188078031
vclUlhFmvMQ	2303257	2317438	2359295
9rsJSbp9P34	16834536	17163282	18083052
XnCeEJvcG6M	41752351	42341928	45255730
8pkqcDfmN_w	15761382	15875298	16180330
iEUxmn2YjiI	3297510	3306100	3335550
VG82HbYpwHY	1348868	1439215	1654175
pXSSqxWepvM	226383	233270	244842
cYdMysMuJUw	741979	755972	779561
FmOWPH2nudE	18900209	19015276	19701338
8gKAP2nm7xw	3955842	4197496	5279713
namXTvyvLp0	1667254	1719784	1840056
VAnRsg7UecE	1143884	1277145	1614442
ijMGwiif1ns	3928247	3967186	4104056
f37KZMEBWJs	2449477	2566753	2842717
QPB3PA3IUzY	3676158	4117193	5000467
deCIuMFNL-o	3069206	3173879	3482224
jc1fTjYV7t0	953512	969760	1015090
PBYXY9XZZ3Y	2980927	3052108	3239448
AAWOeenV_J4	1726966	1742831	1787562
OfX-2vUoFIE	8975733	9041171	9336205
coZD9WpVkqM	214560	215354	217586
AV0Sd_vCN3o	746878	747950	751076
1yuTJMFGxEw	5269916	5407988	5718511
o3JYek5NeoI	1569268	1612007	1740894
znNMvMrRYJ8	2245631	2303280	2474539
LcODhHnm9iE	9174187	9504641	10710724
1agyrozxf00	595817	611953	644754
s7Ab_K-SYFc	1411110	1429308	1494668
UVfrBJs6rek	16830657	16927506	17216677
WVl6g5hvcDA	8649055	8916309	9831065
KU1ahg6DSAg	1914301	1932828	1982603
TSPGlIkTsVk	4041561	4285693	4972045
8W0PXYu7kM0	566745	593633	672041
DtflxeL_vUo	2956666	2957977	2961677
jtvG5fAT2MU	2141206	2243867	2548574
eHqPJfbFYUk	1350623	1355382	1365812
Pu3MkJMRQgU	3062414	3102905	3206033
Cfbf5nXTqNk	954495	971123	1019809
HinJX54QBeY	817818	863395	956627
3e38KSS6nRM	2022463	2036566	2089868
eW5lwMLnxCc	41836511	42134851	42209799
pfdesdD0Ilc	2299380	2313264	2350597
ChYVhpBdA4A	1678813	1748376	1963964
2JD0tMey7WE	140985	153630	171371
Fsc9r_TXGiY	39770369	40392004	44400450
-tI2lYaLW3c	1038698	1070131	1140332
kOdl8EPXhaE	1098465	1130518	1205039
a8c7jmucS9w	3309315	3331858	3395002
Vkm5SpFfSiU	4251317	4306855	4466839
Kqtw6UAqkK4	4657121	4684968	4758238
A7qg7PZyEkU	599298	630940	686241
lxhO3eEF9v0	126131	127275	129942
EOBw7-8dYbU	273270	291100	330131
GHJr7-c8fDE	1324058	1327249	1337350
OyQoZqwIPqk	177107	178791	181591
Fy83MrpshhA	3147757	3150944	3159906
GGY2mPQwN7c	7076392	7238373	7670296
GblO2b5cFtY	3021816	3033161	3068254
8uiUz_IUkpo	150823007	154947684	167283122
AytvClK1I5k	4283050	4323295	4433650
Tvva9IhMWfM	5411468	5708133	6303127
8Q77E7XlRA4	1794043	1815182	1855100
DPfNnCffDZQ	14040070	14807772	17274649
pirYs7L4xog	108937605	109722754	113112687
5T97A6xA-sc	465978	496632	591657
DVoTmOr4z5Q	41924303	42492868	45138405
E5Ri0crZCEs	145251	145292	145400
bSea5EdqZ94	5117838	5133756	5172210
jWzSI5WKoek	3505080	3550501	3693909
MRF4Qqj9WAg	804390	824727	886584
_jd0sk81oMk	581178	604854	670334
c_pR5F9lFOM	2597263	2613690	2652420
xNgxUVpV1hA	19399238	20330373	23858746
Yooeqe7dpUs	478886	483209	493644
BzQlUfRFLlE	1324253	1368049	1435614
GX6Xn7TD2zM	11064804	11170534	11522631
ADACarH2SBM	101380	123593	174283
YUy0kKh7hP0	1833746	1850763	1897925
J9BUdl8RQ6A	1502923	1527089	1593066
-s4mSqdfW4g	2355044	2424281	2535786
Vdpyrfm1euo	287642	288405	289771
c0AOEQAvZWk	48175704	48179172	48175839
aYJwVFe8cNs	2532363	2580643	2709554
o-5mYT6jTfo	180222	185405	199124
8dJyRm2jJ-U	87152627	92856134	109573406
1TZtYUSqAac	1094386	1101268	1116416
