6q2cMTpUEOQ	170858	171321	173034
SgflG4TzZNY	7384	7397	7460
p82YhXuWios	16825	16831	16846
tw9WfyAOt0g	1621	1627	1644
lVabp2pq2pM	2192	2246	2392
bKHCTG_nwoU	109529	110879	113284
-iWBCjdrknE	1646	1673	1709
OISqNAdTvFc	3355	3375	3408
qmyMg504otQ	57793	57855	58002
z2JmKR_STSw	538489	538629	539013
xTiwEJNlTzM	32837	32914	33144
3JIZTv-N--E	14890	14912	14981
O_3S4fPxWZw	8220	8466	8847
vYG9HdjJ8_A	852063	859518	881912
hNVmHRmRELg	84061	84403	85319
f1pq4hv6KMc	86406	86698	87404
JBCF9h9gjh4	29409	29495	29696
VH0sc3HtAq4	3320026	3374693	3406998
gYEGn1PPIV4	118298	122657	128491
2ntnnBCpR5c	934	964	1109
efFQ02rvSiA	847155	959213	1330630
9WZQlHMNe7o	180105	181814	186657
Km6yiiGAx40	None	None	None
tPg6FNt-NYg	257092	258744	262462
8d3X7_-QVyo	2769	2875	3192
pyjyhmeebf0	55915	56227	56807
NcbFqgyTTBU	11040	11202	11652
3klWO2ttpGQ	168605	169215	170645
oQ6a8UmuKhk	168676	169661	171523
37v1PJqG06g	380833	381517	383010
z1fmOHWlcog	18162	18180	18217
70JDd-Ywnio	301752	303515	307294
ej9N0sGymE0	17911	17955	18077
Supe0AtCFAY	231032	231473	232547
N_BOMV45mDY	22046	22674	24129
7sC1dBws9L0	206598	224677	276377
YgrzzRKITts	None	None	None
QxyyJXxC0HU	2707	2741	2824
RdklEHhQ6Mo	7410	7501	7634
Nus7MfF2ytw	5576940	5652452	5975958
vclUlhFmvMQ	66493	66811	67384
9rsJSbp9P34	231770	236945	252630
XnCeEJvcG6M	681716	693271	745606
8pkqcDfmN_w	541442	543173	547253
iEUxmn2YjiI	39144	39215	39468
VG82HbYpwHY	19711	20711	22937
pXSSqxWepvM	6757	6842	7108
cYdMysMuJUw	28315	28746	29469
FmOWPH2nudE	1135792	1143569	1186389
8gKAP2nm7xw	33752	35492	43364
namXTvyvLp0	47655	48657	50124
VAnRsg7UecE	9069	9990	11625
ijMGwiif1ns	67485	67734	68626
f37KZMEBWJs	100904	103294	108820
QPB3PA3IUzY	139138	152071	173791
deCIuMFNL-o	91034	94387	102468
jc1fTjYV7t0	12844	13065	13673
PBYXY9XZZ3Y	32050	32653	34252
AAWOeenV_J4	8710	8777	8945
OfX-2vUoFIE	48621	49049	50588
coZD9WpVkqM	7986	8005	8049
AV0Sd_vCN3o	17938	17950	17982
1yuTJMFGxEw	271052	276000	285676
o3JYek5NeoI	9604	9902	10624
znNMvMrRYJ8	187499	191115	201686
LcODhHnm9iE	178407	185761	216544
1agyrozxf00	6215	6352	6588
s7Ab_K-SYFc	7540	7670	8080
UVfrBJs6rek	684139	685773	690566
WVl6g5hvcDA	138685	140708	147264
KU1ahg6DSAg	15586	15754	16086
