r4Cb5nj4VgI	MINI VAKANTIE MET ZIJN 3-EN - MONICAGEUZE WEEKVLOG #	2022-05-02T18:40:07Z	24	PT38M48S
XdUoiEVccdo	Ronnie O'Sullivan Makes It Seven World Titles | Eurosport Snooker	2022-05-02T20:07:20Z	17	PT16M38S
OrJ4rPSlrlI	Last City in Europe with No Laws	2022-05-01T17:00:01Z	24	PT16M44S
z3vJM8AOvvQ	Tv-maker Catherine Keyl klaar met discussie over Johan Derksen	2022-04-29T06:30:15Z	25	PT3M2S
2RguRRYnqlU	ONVERWACHTS BELLETJE VAN DE NEDERLANDSE POLITIE OP VAKANTIE..👮‍♀️😱	2022-04-27T15:30:21Z	24	PT22M51S
3MCr2hsmLBE	€100 als STEFAN Uit Mijn Handen Blijft - Air Tag Hunt	2022-05-01T09:00:03Z	23	PT13M42S
7cK1a9C7nlg	I gave MrBeast a REAL LIGHTSABER and caused a DISASTER!	2022-04-30T16:00:03Z	28	PT12M32S
HzKJeQIX78k	Kraantje Pappie - Lang Leve The Life (prod. Nightwatch & Project Money)	2022-05-02T11:00:17Z	10	PT3M2S
KvbrhBGeQss	Hans Teeuwen - Heerlijk gesprek	2022-04-28T12:33:02Z	23	PT9M18S
_A6QcoZwRpI	Ik Huurde Iemand in om m’n iPhone te Repareren, Maar hij was Niet Stuk | Kalvijn	2022-04-30T10:00:12Z	22	PT12M5S
Vcwhe0pY4Bg	Pheelz - Finesse (ft. BNXN) [Official Music Video]	2022-04-19T14:00:12Z	10	PT2M54S
a_0PSZ2S_yw	Overwatch 2 a Pathetic Preview	2022-05-01T17:15:01Z	20	PT4M24S
lxZJqTudlf8	24 Pranks Binnen 24 Uur! *Challenge*	2022-04-26T14:30:10Z	22	PT15M59S
QO7e_RiMVQg	Insane $100,000 Challenge!	2022-04-24T17:00:22Z	20	PT9M46S
FcmUNlgld74	Johnny Depp's friend gets emotional talking about Amber Heard	2022-04-14T17:15:00Z	25	PT5M37S
3Nv99SKbpKU	K3 - Tjikke boem	2022-04-22T15:00:13Z	10	PT3M34S
z2JmKR_STSw	Brawl Stars: Brawl Talk - 2 Brawlers, Bot Drop Game Mode, Sprays, and MORE!	2022-04-23T15:00:13Z	20	PT6M44S
OpOvMwkGL18	LAST TO TALK WINS $10,000	2022-05-04T23:43:44Z	22	PT13M15S
DDY6KjQCMoQ	Welcome to CLAN CAPITAL! Clash of Clans New Update!	2022-05-02T11:02:34Z	20	PT1M20S
Im9bpJY_NRs	10 EXTREME MOPPEN!	2022-05-01T07:00:09Z	24	PT17M35S
M3iYFWMATyg	De hele wereld tegen Rusland? Valt best mee	2022-04-30T07:00:06Z	25	PT8M50S
jVn_rRlP29w	De Nederlandse Bier Tierlist (met Acid)	2022-05-01T15:26:12Z	24	PT14M1S
DxJNeHoCl9M	Al Mijn MakeUp WEGGOOIEN.. | GEEN CLICKBAIT! | JessieMaya	2022-04-24T10:23:24Z	24	PT27M43S
2J9pXnhQJqM	Best and Worst Dressed Met Gala 2022 (Dirty Laundry)	2022-05-03T09:32:09Z	26	PT16M29S
DgyBl_gexIM	Tobi's vrijgezellenfeest | FOMO SHOW S3 #7 | NPO 3	2022-04-26T14:00:05Z	24	PT19M40S
oI_X2cMHNe0	How Electricity Actually Works	2022-04-29T13:59:54Z	27	PT24M31S
